z1,z2,z3,z4,z5,z6,z7,province,year,split
-0.058244936,0.2243863,0.2143806,-0.23549816,-0.1428263,-0.12168783,0.6297196,17 Peravia,2022,test
-0.06017065,0.17615277,0.1566829,-0.061152134,-0.16786556,0.07292179,0.3058653,17 Peravia,2023,test
-0.3877943,-0.9943347,0.19423263,-0.7227621,1.230882,0.069958165,-0.4127345,18 Puerto Plata,2015,train
0.4461985,-0.28785497,1.6736115,-0.5121782,0.38818926,0.9949619,-0.38475162,18 Puerto Plata,2016,train
0.039985355,1.1204437,1.425684,-1.8890733,-0.28393632,-0.29831937,0.22627865,18 Puerto Plata,2017,train
0.957957,-0.74983215,0.7611727,-2.2100573,1.2836999,-2.4381692,1.7463946,18 Puerto Plata,2018,train
0.21097037,0.17431182,0.052038644,-0.4165077,0.31854877,-0.28587398,-0.36545658,18 Puerto Plata,2019,train
0.6501788,0.25215825,1.4233323,-1.0099007,0.15695184,0.21527202,-0.07208078,18 Puerto Plata,2020,val
0.4174529,0.29349098,0.7965449,-1.1711497,0.3015328,-0.60797954,0.3974061,18 Puerto Plata,2021,val
0.32805783,0.32558012,0.70444334,-0.94981605,0.22375868,-0.3264563,0.13321629,18 Puerto Plata,2022,test
-0.10292333,0.43392617,0.26071244,-0.54508835,0.2079973,0.018462112,-0.14939894,18 Puerto Plata,2023,test
-0.5233888,-1.7956406,0.08387114,0.24730162,-0.4718328,0.35360432,-0.57298917,19 Hermanas Mirabal,2015,train
0.50820386,-0.61841595,1.5493102,0.38253203,-1.3160547,0.54148173,-0.38718072,19 Hermanas Mirabal,2016,train
0.31732434,0.36938885,1.3729815,-1.2030523,-1.9491322,-0.36131018,0.45077273,19 Hermanas Mirabal,2017,train
0.706498,-0.93103063,0.6616023,-0.40414718,-1.1405112,-1.5568644,0.1645194,19 Hermanas Mirabal,2018,train
0.5334001,-0.51600146,0.047411755,0.15645659,-0.9958765,-0.37758577,-0.44540757,19 Hermanas Mirabal,2019,train
1.3292445,0.0021533675,1.6291358,-0.60475075,-1.7964753,-0.18010011,1.0525419,19 Hermanas Mirabal,2020,val
1.1932201,-0.041859105,1.1021255,-0.80417967,-1.627521,-1.2965041,1.3056784,19 Hermanas Mirabal,2021,val
0.36310205,-0.18426624,0.6999412,-0.41517788,-1.5481468,-0.31306303,0.097028606,19 Hermanas Mirabal,2022,test
0.18436109,-0.03253936,0.37330765,-0.14438544,-0.9904482,0.030962292,0.01742352,19 Hermanas Mirabal,2023,test
-0.1546516,-0.8896573,0.1851205,-0.38008085,0.45774892,0.0464178,-0.19528452,20 Samaná,2015,train
0.6288967,-0.2553794,1.2639349,-0.35475802,-0.032834835,0.4241386,-0.09875757,20 Samaná,2016,train
0.37495545,0.51251066,1.4615428,-1.2690872,-0.72800756,-0.23310189,0.32404304,20 Samaná,2017,train
1.1175522,-0.584451,0.91642666,-1.1600915,0.047135442,-1.2660958,0.728224,20 Samaná,2018,train
0.45661753,-0.25561237,0.23055162,-0.35721263,-0.09066999,-0.21570145,-0.24310124,20 Samaná,2019,train
1.5006132,1.0863382,2.3552065,-1.9824427,-0.88159883,-0.64339906,2.264374,20 Samaná,2020,val
1.1967405,0.71973443,1.5113838,-2.1603034,-0.3190441,-1.7826236,2.902081,20 Samaná,2021,val
0.42090547,0.05214021,0.77804637,-0.6846729,-0.28796545,-0.3134126,0.122619785,20 Samaná,2022,test
0.120355174,0.11227996,0.4752703,-0.42310023,-0.25846687,-0.026304336,0.094315365,20 Samaná,2023,test
-0.7968688,-1.0043894,-0.17817006,-0.004652058,0.23107566,-0.7871142,-0.5152105,21 San Cristóbal,2015,train
1.0968711,-0.29965198,1.6537589,0.12500617,-0.62062806,0.09521096,-0.78754514,21 San Cristóbal,2016,train
-0.0342394,0.33741242,1.1120648,-0.76281846,-1.055832,-0.28741643,-0.23058987,21 San Cristóbal,2017,train
0.28477755,-0.67049927,0.56049365,-0.75006616,-0.20341215,-1.4732475,0.06555618,21 San Cristóbal,2018,train
0.31495735,0.032533053,0.12917046,-0.30198994,-0.42648667,-0.4504513,-0.59104794,21 San Cristóbal,2019,train
0.5148517,-0.019506304,1.4336507,-0.4552455,-0.8212437,-0.03397712,-0.35758024,21 San Cristóbal,2020,val
0.10791944,-0.08951882,0.6168664,-0.56650984,-0.5524937,-0.6812127,-0.1270527,21 San Cristóbal,2021,val
0.116632506,0.15147452,0.8062962,-0.62405646,-0.87964153,-0.44434106,-0.2871685,21 San Cristóbal,2022,test
-0.08224638,0.13726632,0.3618948,-0.29022262,-0.45449767,-0.11740181,-0.2274073,21 San Cristóbal,2023,test
-1.0531642,-1.398465,-1.0967845,0.6264363,-0.895444,0.16115081,0.15086038,22 San Juan,2015,train
1.6437627,-0.45573148,0.79148996,0.6360235,-1.8855187,0.881533,1.3741305,22 San Juan,2016,train
-0.9277434,0.4924701,-0.18277162,0.29946733,-2.421617,0.9001173,1.4313666,22 San Juan,2017,train
-0.612888,-0.98607093,-0.96711075,1.2424375,-1.3253095,-1.0121355,1.6482078,22 San Juan,2018,train
0.016255636,0.05657574,-0.9148735,1.4847332,-1.7070594,0.042314056,0.18954629,22 San Juan,2019,train
0.03826059,-0.2419959,0.24527612,0.8452496,-2.0707889,0.90087074,0.95450234,22 San Juan,2020,val
0.042381257,-0.1404067,-0.03168088,0.35851648,-2.37122,-0.41991177,2.339748,22 San Juan,2021,val
-0.16573308,-0.15369983,-0.3371732,0.77755356,-2.525493,0.3380246,1.0380939,22 San Juan,2022,test
-0.3037884,0.042161357,-0.55468476,0.79391944,-1.7890986,0.6997779,0.39428082,22 San Juan,2023,test
-0.49494427,-0.5588585,-0.08618495,-0.14441957,1.2191484,-0.3058668,-0.20346239,23 San Pedro de Macorís,2015,train
0.8681817,-0.031045778,1.5492674,0.16287398,0.5803341,0.6843561,-0.24951068,23 San Pedro de Macorís,2016,train
-0.14213051,0.7830444,0.6525163,-0.3738293,0.20962812,0.17018855,0.5087175,23 San Pedro de Macorís,2017,train
0.41247487,0.0034445447,0.23749352,-0.32301837,0.8537436,-0.816559,0.8745021,23 San Pedro de Macorís,2018,train
0.22345121,0.38724062,-0.021673627,0.030676313,0.29993293,-0.1252186,-0.1484028,23 San Pedro de Macorís,2019,train
0.5337515,0.9592067,1.4376962,-0.20636459,0.5751888,0.47003666,0.7852209,23 San Pedro de Macorís,2020,val
0.26284614,0.5836526,0.45987138,-0.29215708,0.48787728,-0.13944292,0.7634674,23 San Pedro de Macorís,2021,val
0.38965026,0.8722155,0.66446817,-0.43183374,0.3166279,-0.10327338,0.8898357,23 San Pedro de Macorís,2022,test
-0.050616477,0.6625543,0.3021463,-0.22992775,0.35355115,0.16423278,0.22317727,23 San Pedro de Macorís,2023,test
-0.29552847,-1.806224,0.06561693,0.11239282,-0.6981217,0.1941833,-0.58727777,24 Sánchez Ramírez,2015,train
0.8139535,-0.7539361,1.5716599,-0.017357897,-1.6355351,0.35434276,-0.4565568,24 Sánchez Ramírez,2016,train
0.44437653,0.11560067,1.4086857,-1.1990197,-2.0739677,-0.45707017,0.25683767,24 Sánchez Ramírez,2017,train
1.0326227,-1.016275,0.9617398,-0.8144982,-1.3715618,-2.0122173,0.786389,24 Sánchez Ramírez,2018,train
0.45719984,-0.5232246,0.11864178,0.04946272,-0.9165325,-0.3305016,-0.48420984,24 Sánchez Ramírez,2019,train
1.1210724,-0.2634472,1.6332189,-0.47152916,-1.698727,-0.1350759,0.29746196,24 Sánchez Ramírez,2020,val
1.4920726,0.06237026,1.453277,-1.2348235,-2.0386438,-1.7280912,2.1975,24 Sánchez Ramírez,2021,val
0.46332052,-0.23214136,0.8510083,-0.5769012,-1.6968917,-0.45547017,-0.049541075,24 Sánchez Ramírez,2022,test
0.2401164,-0.17693727,0.53254116,-0.1848427,-0.8290792,-0.06283556,-0.09704198,24 Sánchez Ramírez,2023,test
-1.6276495,-1.8247466,0.49000984,1.5198417,-0.36984536,-0.41301277,-1.5397933,25 Santiago,2015,train
-0.019778648,-0.45684958,2.3247967,1.6750745,-1.913169,0.59486735,-1.5177387,25 Santiago,2016,train
-0.7067505,0.29881355,1.2013427,-0.97349805,-2.4162564,-0.5107648,-0.8350619,25 Santiago,2017,train
0.2129454,-1.1597009,0.7487995,0.3232161,-1.5594846,-2.5889735,-0.5157792,25 Santiago,2018,train
0.5013597,-0.15389048,0.39515227,1.4235097,-1.8547252,-1.3499109,-1.5844182,25 Santiago,2019,train
0.16631258,-0.26169202,1.9243593,0.3578753,-2.1805968,-0.2882169,-1.46182,25 Santiago,2020,val
0.03966686,-0.2943701,1.0992662,-0.37343866,-1.959628,-1.3203633,-0.8081195,25 Santiago,2021,val
-0.021532822,0.012802323,1.0186528,-0.11937969,-2.3654947,-0.8080908,-1.0399771,25 Santiago,2022,test
-0.26229757,-0.025432752,0.7859835,0.18156923,-1.7410117,-0.49151582,-1.3285401,25 Santiago,2023,test
-1.8180503,-1.0419838,-0.32271618,1.7551498,0.4969934,0.52767605,0.05266561,26 Santiago Rodríguez,2015,train
0.08660602,0.009319578,1.4747835,2.288589,-0.62467027,1.6076943,0.14098991,26 Santiago Rodríguez,2016,train
-0.6095784,1.0593823,0.46729797,-0.19806543,-0.6463514,0.5616292,1.622544,26 Santiago Rodríguez,2017,train
0.04555167,0.051722746,-0.27259848,0.33676025,0.25106174,-1.8176128,4.094405,26 Santiago Rodríguez,2018,train
-0.06641681,0.6003737,-0.5021035,1.1034178,-0.29490393,-0.019378578,0.33399704,26 Santiago Rodríguez,2019,train
-0.4082913,0.9270538,0.38264838,0.74269766,-0.49174798,0.5752825,2.5854392,26 Santiago Rodríguez,2020,val
0.19212188,1.3158388,0.36025766,0.19342709,-0.6111745,-0.3690422,3.7338424,26 Santiago Rodríguez,2021,val
-0.10861214,0.5126359,0.061687104,0.60259706,-0.49144393,0.26746434,1.367829,26 Santiago Rodríguez,2022,test
-0.19113475,0.5430055,-0.17320478,0.53322536,-0.2115409,0.33535424,0.46886763,26 Santiago Rodríguez,2023,test
-1.8391336,-1.1768627,-0.23511346,1.5298711,0.61528575,0.5694986,-0.16994123,27 Valverde,2015,train
