province,year,week,neighbor_incidence_lag0,neighbor_incidence_lag1,neighbor_incidence_lag2,n_neighbors
09 Espaillat,2018,34,0.1869942278679382,0.4751685850204473,0.23078489149924178,20
09 Espaillat,2018,35,0.20552270809910056,0.1869942278679382,0.4751685850204473,20
09 Espaillat,2018,36,0.27673310571127935,0.20552270809910056,0.1869942278679382,20
09 Espaillat,2018,37,0.3464742019125017,0.27673310571127935,0.20552270809910056,20
09 Espaillat,2018,38,0.46544429427158934,0.3464742019125017,0.27673310571127935,20
09 Espaillat,2018,39,0.2541989390431467,0.46544429427158934,0.3464742019125017,20
09 Espaillat,2018,40,0.44869846131179186,0.2541989390431467,0.46544429427158934,20
09 Espaillat,2018,41,0.30904451402254507,0.44869846131179186,0.2541989390431467,20
09 Espaillat,2018,42,0.498891149088898,0.30904451402254507,0.44869846131179186,20
09 Espaillat,2018,43,0.27460839848798596,0.498891149088898,0.30904451402254507,20
09 Espaillat,2018,44,0.23490634554065298,0.27460839848798596,0.498891149088898,20
09 Espaillat,2018,45,0.3937875542069041,0.23490634554065298,0.27460839848798596,20
09 Espaillat,2018,46,1.0505854064516396,0.3937875542069041,0.23490634554065298,20
09 Espaillat,2018,47,0.7621527391821821,1.0505854064516396,0.3937875542069041,20
09 Espaillat,2018,48,0.7453074890917065,0.7621527391821821,1.0505854064516396,20
09 Espaillat,2018,49,0.4375645408746724,0.7453074890917065,0.7621527391821821,20
09 Espaillat,2018,50,0.45754604073281596,0.4375645408746724,0.7453074890917065,20
09 Espaillat,2018,51,0.8057039625354389,0.45754604073281596,0.4375645408746724,20
09 Espaillat,2018,52,0.20393562812243501,0.8057039625354389,0.45754604073281596,20
09 Espaillat,2019,1,0.352029171508234,0.20393562812243501,0.8057039625354389,20
09 Espaillat,2019,2,0.5620552577997602,0.352029171508234,0.20393562812243501,20
09 Espaillat,2019,3,0.41834185265899637,0.5620552577997602,0.352029171508234,20
09 Espaillat,2019,4,0.6715973584493531,0.41834185265899637,0.5620552577997602,20
09 Espaillat,2019,5,0.8642557906660466,0.6715973584493531,0.41834185265899637,20
09 Espaillat,2019,6,0.471217851327879,0.8642557906660466,0.6715973584493531,20
09 Espaillat,2019,7,0.3806227915717076,0.471217851327879,0.8642557906660466,20
09 Espaillat,2019,8,0.6707225565240589,0.3806227915717076,0.471217851327879,20
09 Espaillat,2019,9,0.7413556669415831,0.6707225565240589,0.3806227915717076,20
09 Espaillat,2019,10,0.5960005388447143,0.7413556669415831,0.6707225565240589,20
