z1,z2,z3,z4,z5,z6,province,year,split
0.6858808,-1.6005698,0.508536,1.0658228,1.7617214,-1.3874062,25 Santiago,2016,train
-0.5851098,-0.29514536,0.32388514,0.52409685,0.83637756,-1.018332,25 Santiago,2017,train
-1.5261497,-0.96891487,-0.57703686,0.47303236,1.5511266,-0.3465646,25 Santiago,2018,train
-0.54774,-1.2547647,0.6547519,0.58752334,0.9048277,0.61621416,25 Santiago,2019,train
0.0011265018,-1.2804586,0.4282687,0.664988,1.4006133,-1.2342839,25 Santiago,2020,val
-0.9582951,-0.66718125,-0.08226649,0.5420855,1.524998,-1.0121202,25 Santiago,2021,val
-0.9623505,-1.9922268,-0.547066,1.2712318,0.5124204,1.784105,26 Santiago Rodríguez,2015,train
0.9080264,-1.538902,0.39511555,1.8829095,0.34592286,-0.9005819,26 Santiago Rodríguez,2016,train
-0.4778717,0.3872325,0.2537637,1.7601376,-0.73050183,-0.786331,26 Santiago Rodríguez,2017,train
-2.1000338,0.38793287,-0.9565324,2.2410893,-0.67812854,0.6323289,26 Santiago Rodríguez,2018,train
-0.4113186,-0.44155693,0.65824,1.5928359,-0.6962211,1.3371614,26 Santiago Rodríguez,2019,train
-0.85477126,-0.014252871,-1.1587704,2.8271933,0.6144988,-1.0942378,26 Santiago Rodríguez,2020,val
-1.5676696,0.6597141,-1.1716346,2.6757421,0.14427654,-1.0459688,26 Santiago Rodríguez,2021,val
-0.8577793,-2.2614734,-0.80001754,0.9898557,0.91135263,1.8186682,27 Valverde,2015,train
1.151829,-1.3010185,0.24088185,1.8077704,0.69054264,-1.1677164,27 Valverde,2016,train
-0.06983894,0.21487412,-0.06386594,1.0491483,0.12092354,-0.232685,27 Valverde,2017,train
-0.880682,-0.39237273,-1.0508554,1.129517,1.0008471,0.5148317,27 Valverde,2018,train
-0.3136944,-0.57325757,0.024590313,1.0713606,0.1971692,1.2715865,27 Valverde,2019,train
-0.5533297,0.2479824,-1.0336467,2.4753816,0.51664793,-1.1265398,27 Valverde,2020,val
-1.2241709,0.17868584,-1.5007349,1.9312347,0.73465985,-0.91131943,27 Valverde,2021,val
-2.059725,-1.9269068,1.0413991,-0.09867131,0.15242474,0.9666786,28 Monseñor Nouel,2015,train
-0.11321705,-0.9950796,2.2302244,0.68978786,0.16399857,-1.5318595,28 Monseñor Nouel,2016,train
-1.4735312,-0.14572689,1.8675429,0.50803334,0.6912269,-1.5910901,28 Monseñor Nouel,2017,train
-3.5439801,-0.5471527,1.3390152,0.5730077,-0.17173478,-1.106183,28 Monseñor Nouel,2018,train
-1.422944,-0.87244576,1.7228695,0.2463629,-0.11697591,0.33612785,28 Monseñor Nouel,2019,train
-0.7783845,-0.6668906,2.06234,0.74219304,0.12094747,-1.6980511,28 Monseñor Nouel,2020,val
-2.433525,-0.43079364,1.4313811,0.7438536,0.3516126,-1.5647788,28 Monseñor Nouel,2021,val
-1.0560384,-1.2186718,-0.15176891,-0.19848129,-0.37270167,0.2591413,29 Monte Plata,2015,train
0.76225346,-0.6484443,1.3638067,0.03174949,-0.67115724,-1.2251747,29 Monte Plata,2016,train
-0.69211483,0.14951979,0.3647945,1.0107794,-0.31793424,-2.2999074,29 Monte Plata,2017,train
-2.5315647,0.29817867,-0.36761886,0.79615927,-1.3409669,-1.5258585,29 Monte Plata,2018,train
-0.23926316,-0.56218153,0.5796587,0.17918351,-0.4893326,0.08053059,29 Monte Plata,2019,train
0.13176543,-0.52291965,0.5366364,0.9026454,0.05342415,-1.5763488,29 Monte Plata,2020,val
-0.7734932,-0.078448184,-0.08091535,0.6515012,0.3335823,-1.164289,29 Monte Plata,2021,val
