z1,z2,z3,z4,z5,z6,z7,z8,province,year,week,split
3.0005314,10.895855,11.071183,1.1029571,10.914681,2.992406,4.118254,-5.335603,01 Distrito Nacional,2018,10,train
2.0789118,10.313278,12.522986,3.4396262,7.2121353,4.683774,-0.16850641,-9.660105,01 Distrito Nacional,2018,11,train
2.5095835,9.719311,9.452103,0.49091655,10.850771,5.477311,5.6055264,-8.277505,01 Distrito Nacional,2018,12,train
2.525266,9.732846,12.669758,3.1513777,15.217273,1.2529006,7.1646466,-4.9864483,01 Distrito Nacional,2018,13,train
5.108679,3.7896993,5.382973,5.971458,8.7191305,-4.45396,4.5629363,-7.571411,01 Distrito Nacional,2018,14,train
4.766812,3.9714146,4.8958516,6.1000133,8.461364,-3.2680135,6.6013455,-8.13025,01 Distrito Nacional,2018,15,train
4.9850097,4.537492,5.533256,6.0246477,7.8370223,-3.7048724,4.726808,-11.255699,01 Distrito Nacional,2018,16,train
1.915627,3.5995834,6.4339213,8.039259,7.2377334,-2.3177948,4.7474813,-11.099644,01 Distrito Nacional,2018,17,train
-1.3694956,3.2442849,13.883444,2.3536847,9.950007,-3.2724319,-5.653664,-7.4484596,01 Distrito Nacional,2018,18,train
-4.4091988,2.5199637,16.840765,3.2228,10.103547,-5.7112746,-7.4198813,-5.5474105,01 Distrito Nacional,2018,19,train
-4.7629733,1.1136383,14.628304,1.0777541,10.570039,-5.0000644,-5.828681,-4.6560454,01 Distrito Nacional,2018,20,train
-4.345017,-1.4850867,11.4145975,1.2359917,10.51284,-3.2793736,-5.245522,-8.643219,01 Distrito Nacional,2018,21,train
-6.5069556,-1.6503509,12.431611,1.915571,9.392232,-1.7531892,-6.74083,-11.550183,01 Distrito Nacional,2018,22,train
-7.324214,-7.022892,8.671671,2.173628,8.788736,-3.9324057,-6.153076,-9.035927,01 Distrito Nacional,2018,23,train
-8.592482,-6.6923423,8.404103,2.0070276,8.255231,-2.7883036,-5.325644,-7.6098785,01 Distrito Nacional,2018,24,train
-10.643958,-2.0963874,12.826843,-5.40028,6.7891607,-1.7987393,-9.636378,0.07343974,01 Distrito Nacional,2018,25,train
-10.206552,-5.5590534,8.294447,-0.8438349,8.113842,-0.47412255,-4.8932953,-0.92609346,01 Distrito Nacional,2018,26,train
-9.738726,-4.8001184,5.247413,-3.9888318,7.777233,-3.7195783,6.9689445,-1.7933894,01 Distrito Nacional,2018,27,train
-12.972165,-2.222944,10.414918,-8.042687,4.3801274,-2.7870262,1.8784146,-4.2488966,01 Distrito Nacional,2018,28,train
-15.103575,-3.0023618,10.881913,-6.1238317,3.3557315,-3.5923772,2.7848525,-5.798189,01 Distrito Nacional,2018,29,train
-13.984464,-3.3374703,9.268731,-6.084457,4.5645547,-3.826294,3.788246,-3.1030045,01 Distrito Nacional,2018,30,train
-13.080567,-5.0544972,7.2804966,-4.2477036,5.273905,-3.9950323,4.1029344,-5.4231787,01 Distrito Nacional,2018,31,train
-15.204162,-3.4442654,6.698551,-5.6358023,-1.1160142,-4.76163,0.7737377,-5.112104,01 Distrito Nacional,2018,32,train
-14.444485,-3.8764865,6.698301,-5.562085,-1.1270026,-5.2045107,1.7856019,-5.758879,01 Distrito Nacional,2018,33,train
-15.151881,-4.152517,6.4570227,-4.8725343,-0.4768047,-5.924438,3.9910648,-5.961079,01 Distrito Nacional,2018,34,train
-4.1891737,-3.6081476,4.6784153,-13.525099,0.8566606,-4.7853656,-10.571638,-6.2196717,01 Distrito Nacional,2018,35,train
-7.5124235,-2.7270243,1.6157165,-0.885376,-0.951784,-0.51162636,-5.284319,-4.35057,01 Distrito Nacional,2018,36,train
-7.949737,-2.4016447,2.4279964,-1.7173333,-1.4715388,-0.4868994,-5.1399884,-3.2600703,01 Distrito Nacional,2018,37,train
-8.3827505,-2.4058554,3.611566,-1.0277319,-3.3929615,0.3135525,-5.870925,-3.9919322,01 Distrito Nacional,2018,38,train
-8.919241,-0.85215414,3.3087742,-0.88504934,-3.140203,-1.6934495,-7.4750695,-5.315528,01 Distrito Nacional,2018,39,train
-7.1598845,0.44532037,6.0957236,-2.2790244,-0.92705864,-1.3939198,-9.504419,0.5158077,01 Distrito Nacional,2018,40,train
1.7777529,2.0060225,0.73663574,-11.759272,-3.3254178,-5.166894,-9.232274,-7.3501887,01 Distrito Nacional,2018,41,train
-5.5255423,2.786806,3.267293,4.107344,-3.6716607,-0.69903135,-4.5708804,-2.4963017,01 Distrito Nacional,2018,42,train
-2.947084,3.0815983,1.6034056,3.504411,-3.7134016,0.19097015,-3.9421396,-2.125257,01 Distrito Nacional,2018,43,train
-3.9590895,3.9967725,2.0887237,3.038528,-3.22476,-0.042055186,-4.124083,-0.33973178,01 Distrito Nacional,2018,44,train
-5.6753926,5.605049,4.7653303,1.3130091,-6.7629237,-1.5609709,-6.510978,-1.1169369,01 Distrito Nacional,2018,45,train
-5.4184747,6.3242226,6.564459,-0.622629,-9.505457,-1.0706327,-8.56154,-1.7331419,01 Distrito Nacional,2018,46,train
-2.4383008,6.939697,2.5419276,-1.2780817,-6.3147187,-0.4664075,-4.336343,2.0516589,01 Distrito Nacional,2018,47,train
0.60986155,9.495188,0.70300853,4.1767144,-7.8125367,-0.8014117,0.6870816,-1.5631764,01 Distrito Nacional,2018,48,train
0.112843,8.972906,2.2104728,4.50328,-6.6734214,0.72210956,0.08864132,1.5566711,01 Distrito Nacional,2018,49,train
1.2658037,12.998326,2.6310477,2.9766233,-8.647547,-0.09384275,-0.93526965,3.0135036,01 Distrito Nacional,2018,50,train
